,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.23601350765681114,0.2357968483231641,,0.2338358972492806,,,Component-Whole,,P(E|C),bert
1,0.3304208423107046,0.33076606971343814,,0.3298486985261846,,,Component-Whole,,P(E),bert
2,0.2326955381284753,0.23266002844950212,,0.22902825454119619,,,Component-Whole,,probabilistic_causality_diff,bert
3,0.2326955381284753,0.23266002844950212,,0.22902825454119619,,,Component-Whole,,delta_P,bert
4,0.3237822542406583,0.3238406827880512,,0.32185114002293036,,,Component-Whole,,P(E|no C),bert
5,0.2348399333119197,0.23485064011379803,,0.23184295831125698,,,Component-Whole,,q,bert
6,0.2580599274996559,0.2582076813655761,,0.25553540533882957,,,Component-Whole,,p,bert
7,0.24850971996482835,0.24830725462304412,,0.2464448099503876,,,Component-Whole,,causal_power,bert
8,0.2772058306183943,0.277126600284495,,0.27674171554362637,,,Component-Whole,,PMI,bert
9,0.2772058306183943,0.277126600284495,,0.27674171554362637,,,Component-Whole,,PPMI,bert
10,0.2772058306183943,0.277126600284495,,0.27674171554362637,,,Component-Whole,,CPMI_-2,bert
11,0.28896006362899407,0.288904694167852,,0.2877278679004418,,,Component-Whole,,NPMI,bert
12,0.2772058306183943,0.277126600284495,,0.27674171554362637,,,Component-Whole,,NNEGPMI,bert
13,0.26254430567823156,0.2626304847357479,,0.2614894837761537,,,Component-Whole,,P(C|E),bert
14,0.3006476085593234,0.300597439544808,,0.3002112558579998,,,Component-Whole,,causal_stength_nec,bert
15,0.25164135272794014,0.251578947368421,,0.25010609880776935,,,Component-Whole,,causal_stength_suf,bert
16,0.2749641322137078,0.2749075391180654,,0.27439904867209663,,,Component-Whole,,causal_stength_0.5,bert
17,0.27828109943559853,0.27820768136557605,,0.27825423666710997,,,Component-Whole,,causal_stength_0.7,bert
18,0.27295568670780895,0.27283072546230447,,0.27199294365582605,,,Component-Whole,,causal_stength_0.9,bert
19,0.3006476085593234,0.300597439544808,,0.3002112558579998,,,Component-Whole,,causal_stength_1.0,bert
20,0.4195169702809771,0.4193172119487909,,0.4156082861947984,,,Component-Whole,,avg_freq_uni,bert
21,0.3727264106211475,0.3726600284495022,,0.3731776897030564,,,Component-Whole,,avg_freq_bi,bert
22,0.295639719311737,0.29561904761904756,,0.2884396984261208,,,Instrument-Agency,,P(E|C),bert
23,0.33511314044025764,0.3351428571428572,,0.33328880908348657,,,Instrument-Agency,,P(E),bert
24,0.30355314762245456,0.3035739348370927,,0.29614603158840813,,,Instrument-Agency,,probabilistic_causality_diff,bert
25,0.2994933416418565,0.2991929824561403,,0.2935316120663602,,,Instrument-Agency,,delta_P,bert
26,0.32338461538461544,0.3236190476190476,,0.3207209150388913,,,Instrument-Agency,,P(E|no C),bert
27,0.3033227784316893,0.3034786967418546,,0.29805882005951945,,,Instrument-Agency,,q,bert
28,0.31738461538461543,0.316952380952381,,0.314597261854271,,,Instrument-Agency,,p,bert
29,0.31738461538461543,0.316952380952381,,0.314597261854271,,,Instrument-Agency,,causal_power,bert
30,0.29592307692307696,0.2955238095238095,,0.28866638545636747,,,Instrument-Agency,,PMI,bert
31,0.29592307692307696,0.2955238095238095,,0.28866638545636747,,,Instrument-Agency,,PPMI,bert
32,0.29592307692307696,0.2955238095238095,,0.28866638545636747,,,Instrument-Agency,,CPMI_-2,bert
33,0.28623076923076923,0.28590476190476194,,0.2801877228777051,,,Instrument-Agency,,NPMI,bert
34,0.29592307692307696,0.2955238095238095,,0.28866638545636747,,,Instrument-Agency,,NNEGPMI,bert
35,0.29371697558105325,0.2936117566643882,,0.2899578074687523,,,Instrument-Agency,,P(C|E),bert
36,0.28184615384615386,0.2816190476190476,,0.2777466557498271,,,Instrument-Agency,,causal_stength_nec,bert
37,0.276,0.2757142857142857,,0.2699971030779894,,,Instrument-Agency,,causal_stength_suf,bert
38,0.27615384615384614,0.2765714285714286,,0.2643092378482998,,,Instrument-Agency,,causal_stength_0.5,bert
39,0.2916923076923077,0.29133333333333333,,0.2865129114391164,,,Instrument-Agency,,causal_stength_0.7,bert
40,0.27976923076923077,0.27952380952380956,,0.2743000915240306,,,Instrument-Agency,,causal_stength_0.9,bert
41,0.28184615384615386,0.2816190476190476,,0.2777466557498271,,,Instrument-Agency,,causal_stength_1.0,bert
