,model,metric,split,value
0,bert,accuracy,,0.6318289786223278
1,bert,accuracy,,0.8432304038004751
2,bert,accuracy,,0.9
3,bert,accuracy,,0.9
4,bert,accuracy,,0.8547619047619047
5,bert,balanced_accuracy,,0.773754222972973
6,bert,balanced_accuracy,,0.6942567567567568
7,bert,balanced_accuracy,,0.7565104166666667
8,bert,balanced_accuracy,,0.6558159722222222
9,bert,balanced_accuracy,,0.5555555555555556
10,bert,f1,,0.3111111111111111
11,bert,f1,,0.3653846153846153
12,bert,f1,,0.5
13,bert,f1,,0.38235294117647056
14,bert,f1,,0.18666666666666665
15,bert,precision,,0.18617021276595744
16,bert,precision,,0.2835820895522388
17,bert,precision,,0.4375
18,bert,precision,,0.40625
19,bert,precision,,0.1794871794871795
20,bert,recall,,0.9459459459459459
21,bert,recall,,0.5135135135135135
22,bert,recall,,0.5833333333333334
23,bert,recall,,0.3611111111111111
24,bert,recall,,0.19444444444444445
25,bert,roc_auc,,0.852759009009009
26,bert,roc_auc,,0.8432573198198198
27,bert,roc_auc,,0.8826678240740741
28,bert,roc_auc,,0.8233506944444445
29,bert,roc_auc,,0.6585648148148148
30,glove,accuracy,,0.517814726840855
31,glove,accuracy,,0.5938242280285035
32,glove,accuracy,,0.6047619047619047
33,glove,accuracy,,0.4880952380952381
34,glove,accuracy,,0.5785714285714286
35,glove,balanced_accuracy,,0.711254222972973
36,glove,balanced_accuracy,,0.7284980292792793
37,glove,balanced_accuracy,,0.6831597222222222
38,glove,balanced_accuracy,,0.5438368055555556
39,glove,balanced_accuracy,,0.6184895833333333
40,glove,f1,,0.2564102564102564
41,glove,f1,,0.27848101265822783
42,glove,f1,,0.25225225225225223
43,glove,f1,,0.16988416988416988
44,glove,f1,,0.21333333333333335
45,glove,precision,,0.1483050847457627
46,glove,precision,,0.165
47,glove,precision,,0.15053763440860216
48,glove,precision,,0.09865470852017937
49,glove,precision,,0.12698412698412698
50,glove,recall,,0.9459459459459459
51,glove,recall,,0.8918918918918919
52,glove,recall,,0.7777777777777778
53,glove,recall,,0.6111111111111112
54,glove,recall,,0.6666666666666666
55,glove,roc_auc,,0.7510557432432432
56,glove,roc_auc,,0.7331081081081081
57,glove,roc_auc,,0.6669560185185185
58,glove,roc_auc,,0.5087528935185185
59,glove,roc_auc,,0.6545862268518517
60,gpt2,accuracy,,0.6080760095011877
61,gpt2,accuracy,,0.8693586698337292
62,gpt2,accuracy,,0.9
63,gpt2,accuracy,,0.9166666666666666
64,gpt2,accuracy,,0.9023809523809524
65,gpt2,balanced_accuracy,,0.7729448198198199
66,gpt2,balanced_accuracy,,0.7818482545045045
67,gpt2,balanced_accuracy,,0.7565104166666667
68,gpt2,balanced_accuracy,,0.7152777777777778
69,gpt2,balanced_accuracy,,0.5941840277777778
70,gpt2,f1,,0.3037974683544304
71,gpt2,f1,,0.4761904761904762
72,gpt2,f1,,0.5
73,gpt2,f1,,0.49275362318840576
74,gpt2,f1,,0.2807017543859649
75,gpt2,precision,,0.18
76,gpt2,precision,,0.36764705882352944
77,gpt2,precision,,0.4375
78,gpt2,precision,,0.5151515151515151
79,gpt2,precision,,0.38095238095238093
80,gpt2,recall,,0.972972972972973
81,gpt2,recall,,0.6756756756756757
82,gpt2,recall,,0.5833333333333334
83,gpt2,recall,,0.4722222222222222
84,gpt2,recall,,0.2222222222222222
85,gpt2,roc_auc,,0.8875281531531531
86,gpt2,roc_auc,,0.8456503378378378
87,gpt2,roc_auc,,0.8959780092592593
88,gpt2,roc_auc,,0.8198784722222222
89,gpt2,roc_auc,,0.7654803240740741
